File	Word	Vowel Type	Vowel	Vowel Duration (msec)	POA	MOA	Consonant Duration (msec)	Burst Duration	f0	f1_onset	f1_mid	f2_onset	f2_mid
	kolkataye	2	a	59.35	D	VLS_N	77.44	6.15	168.52	539.66	591.87	641.21	1323.96
Bd_48	oTa	1	o	76.07	R	VLS_N	57.80	8.02	139.21	367.08	384.42	602.69	723.23
	oTa	2	a	83.04	R	VLS_N	57.80	8.02	168.47	556.13	642.13	1422.55	1455.57
Bd_52	jodi	1	o	71.05	D	VS_N	58.67	5.19	192.23	327.79	399.11	1757.99	1540.57
	jodi	2	i	55.77	D	VS_N	58.67	5.19	208.35	347.15	384.36	785.81	2077.08
Manika_01	druto	1	u	85.97	D	VLS_N	87.87	0.08	224.85	397.39	426.62	1287.64	1345.99
	druto	2	o	157.19	D	VLS_N	87.87	0.08	262.30	473.52	525.78	1307.74	1029.18
Manika_02	upottOka	1	o	54.38	D	VLS	117.72	13.75	233.65	513.08	495.30	1047.95	1240.61
	upottOka	2	O	66.03	D	VLS	117.72	13.75	228.43	593.56	666.94	1671.00	1494.84
Manika_311	robibar	1	o	74.14	BL	VS_N	43.96	3.80	248.64	464.12	506.60	1366.85	1122.90
	robibar	2	i	60.25	BL	VS_N	43.96	3.80	324.65	507.75	437.89	2144.44	2392.03
Manika_311	rate	1	a	76.51	D	VLS_N	99.94	8.36	270.63	685.11	818.78	1972.72	1834.34
	rate	2	e	117.53	D	VLS_N	99.94	8.36	266.61	531.41	521.49	2166.21	2466.24
Manika_312	bariTi	1	i	50.07	D	VLS_N	68.51	18.42	253.40	748.33	588.85	1462.75	1580.15
	bariTi	2	i	56.98	D	VLS_N	68.51	18.42	260.83	404.40	442.13	1558.93	1803.52
Manika_314	kormider	1	i	46.46	D	VS_N	49.77	7.60	224.58	462.90	442.01	2291.12	1340.99
	kormider	2	e	90.98	D	VS_N	49.77	7.60	221.58	435.12	454.89	2075.58	2412.51
Manika_364	mrittu	1	i	59.71	D	VLS	125.91	18.05	230.91	458.30	435.92	2739.79	2754.31
	mrittu	2	u	48.40	D	VLS	125.91	18.05	255.55	431.69	466.96	1819.94	1105.81
Manika_367	uttOpto	1	u	69.77	D	VLS	141.45	12.46	221.38	464.51	443.72	1108.84	990.56
	uttOpto	2	O	47.18	D	VLS	141.45	12.46	236.99	555.30	660.30	1691.28	1482.85
Manika_368	dabite	1	a	88.54	BL	VS_N	54.47	7.31	252.66	597.12	777.38	1802.40	1766.71
	dabite	2	i	38.76	BL	VS_N	54.47	7.31	256.26	431.51	390.16	1975.08	1732.85
Manika_626	jodi	1	o	55.61	D	VS_N	58.14	4.94	307.62	431.97	602.13	1942.28	2093.36
	jodi	2	i	66.88	D	VS_N	58.14	4.94	300.62	345.05	443.11	2474.62	2678.69
Manika_627	bhaggoban	1	a	63.61	V	VS	117.22	7.79	240.36	955.98	938.47	1625.49	1738.44
	bhaggoban	2	o	28.70	V	VS	117.22	7.79	254.62	555.88	561.97	1569.98	1132.33
Manika_628	bakider	1	a	90.38	V	VLS_N	81.61	13.44	254.96	763.92	984.16	1497.85	1577.32
	bakider	2	i	41.84	V	VLS_N	81.61	13.44	290.90	363.22	372.25	1638.77	1664.71
Manika_630	thakar	1	a	42.07	V	VLS_N	62.78	9.12	310.56	912.93	875.94	1792.48	1585.31
	thakar	2	a	73.89	V	VLS_N	62.78	9.12	321.10	661.80	801.11	1582.03	1815.08
Manika_631	tadero	1	a	119.18	D	VS_N	48.28	7.62	254.52	772.85	933.72	1707.87	1539.35
	tadero	2	e	73.60	D	VS_N	48.28	7.62	283.07	555.45	564.76	2182.91	2288.11
Manika_635	notun	1	o	80.84	D	VLS_N	59.96	16.93	259.31	542.12	526.35	1352.04	1084.61
	notun	2	u	30.30	D	VLS_N	59.96	16.93	262.22	470.77	481.68	945.54	895.07
Rita_01	dhappa	1	a	68.52	BL	VLS	230.22	15.08	196.92	861.42	924.91	1221.11	1339.09
	dhappa	2	a	146.26	BL	VLS	230.22	15.08	179.93	744.11	822.85	1250.46	1281.81
Rita_01	mOmota	1	o	64.13	D	VLS_N	56.80	12.73	209.85	462.09	581.51	1022.76	1072.92
	mOmota	2	a	63.24	D	VLS_N	56.80	12.73	242.78	578.99	706.35	709.41	1265.80
Rita_02	bOktobbo	1	o	83.44	BL	VS	135.21	12.51	321.60	563.77	618.44	1578.35	1272.84
	bOktobbo	2	o	203.16	BL	VS	135.21	12.51	220.39	480.87	562.39	889.55	899.20
Rita_04	chOTTopaddhay	1	O	86.00	R	VLS	145.15	17.32	315.09	563.99	655.73	1444.23	1593.30
	chOTTopaddhay	2	o	42.69	R	VLS	145.15	17.32	309.95	504.01	547.61	1773.16	1533.00
Rita_04	prottaekhan	1	o	57.83	D	VLS	171.04	14.37	240.14	443.43	488.06	1187.19	1314.29
	prottaekhan	2	ae	74.11	D	VLS	171.04	14.37	308.61	588.15	647.13	1119.45	877.39
Rita_04	edin	1	e	135.19		VS_N	135.19	10.82	239.81	482.11	467.74	1396.95	1781.65
	edin	2	i	117.23		VS_N	135.19	10.82	246.93	324.91	348.88	2240.88	2718.91
Rita_07	jekono	1	e	66.99	V	VLS_N	77.98	35.76	249.21	377.11	434.70	2467.73	1860.77
	jekono	2	o	40.70	V	VLS_N	77.98	35.76	347.35	521.44	613.68	1050.94	1114.67
Rita_07	chhoTTo	1	O	72.93		VLS_N	72.93	12.60	285.80	466.97	577.33	1811.07	1619.56
	chhoTTo	2	o	191.86		VLS_N	72.93	12.60	317.97	538.66	594.82	1695.79	1040.94
Rita_08	koTi	1	o	95.51	R	VLS_N	86.46	20.32	287.63	427.14	487.31	794.79	859.51
	koTi	2	i	56.72	R	VLS_N	86.46	20.32	341.62	340.35	370.76	2480.67	1619.51
Rita_10	chhoTo	1	o	67.44	R	VLS_N	82.47	7.96	299.21	473.96	528.95	1317.08	1162.30
	chhoTo	2	o	147.23	R	VLS_N	82.47	7.96	380.79	524.87	666.60	1888.93	1412.51
Rita_151	bhetore	1	e	66.07	R	VLS_N	68.13	18.26	361.00	594.11	647.33	1792.09	2146.81
	bhetore	2	o	68.07	R	VLS_N	68.13	18.26	354.85	507.89	574.48	1803.42	1790.65
Rita_181	barite	1	i	70.81	D	VLS_N	93.39	16.05	184.86	364.90	362.01	2027.47	2254.71
	barite	2	e	200.53	D	VLS_N	93.39	16.05	123.77	356.29	374.01	2085.11	2077.33
Rita_182	hOTat	1	O	82.36	R	VLS_N	92.27	12.13	217.79	860.28	874.66	1104.66	1255.83
	hOTat	2	a	94.21	R	VLS_N	92.27	12.13	343.27	649.31	794.73	1657.18	1457.07
Rita_184	hOTat	1	O	60.03	R	VLS_N	77.77	11.74	238.72	878.98	879.75	1167.24	1170.54
	hOTat	2	a	81.32	R	VLS_N	77.77	11.74	333.58	701.45	759.92	1574.10	1594.68
Rita_185	Oggan	1	O	107.47	V	VS	159.96	25.44	218.42	815.87	786.55	1123.38	1057.40
	Oggan	2	a	93.04	V	VS	159.96	25.44	290.12	621.80	860.55	1676.20	1744.59
Rita_186	Deke	1	e	95.39	V	VLS_N	128.12	5.45	246.95	422.23	485.33	2155.51	1538.07
	Deke	2	e	143.84	V	VLS_N	128.12	5.45	193.15	419.22	417.71	2630.04	2588.26
Rita_189	 take	1	a	69.56	V	VLS_N	81.42	8.79	207.50	698.90	760.82	1047.23	998.54
	 take	2	e	60.52	V	VLS_N	81.42	8.79	246.08	504.85	518.62	1398.93	1377.84
Rita_191	duTo	1	u	74.91	R	VLS_N	61.80	26.52	230.67	364.97	406.70	1660.83	1377.74
	duTo	2	o	78.54	R	VLS_N	61.80	26.52	253.55	466.45	504.25	1730.44	1679.90
Rita_61	protikriyao	1	o	79.91	R	VLS_N	76.96	21.35	205.31	442.75	454.65	1055.57	1196.25
	protikriyao	2	i	48.46	R	VLS_N	76.96	21.35	253.88	356.29	388.51	2288.50	2468.21
Rita_63	shombhabbo	1	a	88.01	BL	VS	172.68	20.48	290.79	758.00	832.68	880.60	1263.78
	shombhabbo	2	o	135.76	BL	VS	172.68	20.48	206.81	446.73	478.65	889.24	906.17
Rita_65	tOBe	1	O	85.04	BL	VLS_N	66.37	7.03	228.27	633.99	769.26	1771.57	1544.80
	tOBe	2	e	81.10	BL	VLS_N	66.37	7.03	262.52	479.70	496.15	1700.38	1325.07
Rita_66	otirikto	1	o	94.34	D	VLS_N	87.37	17.11	224.85	475.76	451.64	735.13	922.58
	otirikto	2	i	59.38	D	VLS_N	87.37	17.11	307.96	334.65	351.44	2171.82	2450.76
Rita_67	shamprotik	1	o	70.90	D	VLS_N	76.62	12.40	352.27	571.82	632.09	1375.26	1467.99
	shamprotik	2	i	84.77	D	VLS_N	76.62	12.40	360.47	392.35	423.41	1577.21	1900.43
Rita_68	biggaenira	1	i	99.03	V	VS	119.14	19.45	229.18	360.85	392.04	1879.49	2576.51
	biggaenira	2	ae	117.51	V	VS	119.14	19.45	271.47	478.44	789.94	2178.20	1496.97
Rita_70	opor	1	o	89.40	BL	VLS_N	72.97	26.34	233.66	538.19	470.63	909.08	882.68
	opor	2	o	75.45	BL	VLS_N	72.97	26.34	310.63	418.85	497.94	814.73	929.78
abd_0	notun	1	o	71.31	D	VLS_N	68.70	18.71	173.50	456.83	477.46	1267.94	1151.23
	notun	2	u	55.14	D	VLS_N	68.70	18.71	199.36	334.75	365.78	1187.23	1303.53
abd_1	barite	1	i	37.15	D	VLS_N	79.36	5.50	172.66	353.27	339.97	2105.75	2216.76
	barite	2	e	83.17	D	VLS_N	79.36	5.50	224.22	448.86	500.81	2024.23	1759.13
abd_103	shiddhanto	1	i	57.67	D	VAS	116.74	6.39	178.37	295.95	355.10	2272.13	2261.83
	shiddhanto	2	a	101.73	D	VAS	116.74	6.39	194.88	484.58	656.39	1625.10	1583.51
abd_104	shiddhanto	1	i	43.46	D	VAS	107.93	13.05	159.83	312.55	319.70	2170.42	2192.12
	shiddhanto	2	a	104.53	D	VAS	107.93	13.05	192.24	419.41	603.03	1731.63	1530.26
abd_121	bishuddho	1	u	42.32	D	VAS	118.39	23.02	191.27	286.26	352.19	1717.87	1546.74
	bishuddho	2	o	92.70	D	VAS	118.39	23.02	182.46	362.15	430.05	1136.60	1025.45
abd_145	briddha	1	i	59.37	D	VAS	136.61	11.62	157.18	304.73	310.06	1971.59	2155.68
	briddha	2	a	207.09	D	VAS	136.61	11.62	108.50	433.03	669.23	1644.81	1330.84
abd_150	briddhabosthay	1	i	48.23	D	VAS	108.56	18.42	137.85	289.61	280.93	2313.39	2287.12
	briddhabosthay	2	a	127.98	D	VAS	108.56	18.42	165.85	504.34	678.53	1643.84	1359.23
abd_152	phoTa	1	o	52.58	R	VLS_N	74.73	5.72	177.98	501.58	602.26	2094.09	2084.39
	phoTa	2	a	192.93	R	VLS_N	74.73	5.72	151.02	572.05	737.04	1481.97	1379.53
abd_153	jeTa	1	e	89.22	R	VLS_N	69.47	15.06	142.64	304.14	398.66	2078.57	2111.06
	jeTa	2	a	122.93	R	VLS_N	69.47	15.06	152.25	581.98	726.76	1679.43	1493.15
abd_154	rate	1	a	123.54	D	VLS_N	78.04	16.97	165.99	529.42	746.18	1458.64	1472.23
	rate	2	e	146.75	D	VLS_N	78.04	16.97	155.90	407.98	424.84	2015.29	2152.25
