File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
msm_89	dite	i	e	D	VLS_N	59.14	42.79	54.95	13.33	0.009	224.27	287.47	304.02	2175.73	2421.99	184.93	397.93	478.79	2294.18	2256.06
padma_103	shotti	o	i	D	VLS	43.86	189.52	185.92	20.90	0.02	166.15	383.27	414.25	1288.79	1286.26	211.66	344.09	289.03	2282.94	2713.97
padma_104	prottekTi	o	e	D	VLS	27.96	38.11	151.33	16.92	0.04	167.81	459.67	443.35	1336.42	1369.15	218.85	451.59	450.73	1962.50	1997.46
padma_113	shotti	o	i	D	VLS	37.60	124.41	189.64	24.34	0.02	179.45	393.75	409.08	1249.88	1250.51	237.62	283.97	300.49	2321.13	2602.98
padma_139	ittadi	i	a	D	VLS	42.22	71.24	128.15	12.80	0.04	152.18	305.28	298.97	2034.73	2504.38	163.41	486.74	559.46	1758.47	1703.54
padma_150	choddo	o	o	D	VS	70.27	41.06	113.40	9.60	0.01	137.97	371.51	401.28	1546.28	1195.45	148.08	330.91	342.40	1624.95	1541.13
padma_65	Odditio	O	i	D	VS	87.15	61.58	133.10	10.06	0.02	148.46	682.57	647.69	1076.04	1170.16	196.43	239.24	343.41	1902.61	2091.17
padma_65	sthapOtto	O	o	D	VLS	46.39	54.25	140.33	26.96	0.02	168.68	506.02	456.33	921.00	1046.09	176.32	388.99	385.56	1380.78	1349.97
padma_78	shatanobboi	o	o	BL	VS	27.03	40.59	111.63	10.61	0.03	184.97	436.24	445.00	1339.46	1212.50	192.75	420.60	394.23	1047.79	1212.29
padma_84	noikOTTo	O	o	R	VLS	76.96	89.80	174.30	19.24	0.01	100.89	444.42	501.55	1020.37	1044.30	83.09	443.84	382.34	1190.29	1035.61
padma_95	parbOtto	O	o	D	VLS	72.26	38.12	145.18	26.30	0.03	187.77	456.51	477.10	1084.95	1136.06	197.86	438.54	443.80	1405.35	1282.57
padma_96	briddhi	i	i	D	VAS	42.51	45.80	107.07	20.36	0.009	132.65	299.66	284.61	2109.24	2192.50	130.21	302.36	296.43	2304.28	2456.76
plb_147	toakka	a	a	V	VLS	89.95	88.34	148.92	9.00	0.006	136.77	532.42	634.79	912.38	1041.13	139.86	581.69	608.15	1201.91	1206.64
plb_249	buddhi	u	i	D	VAS	77.48	93.99	147.47	43.63	0.01	146.38	372.58	281.09	859.64	798.89	158.14	268.93	274.74	2114.55	2218.38
plb_294	shotti	o	i	D	VLS	53.52	65.62	188.57	17.70	0.008	156.71	375.13	411.62	1044.95	1075.39	180.80	318.45	320.25	2037.84	2193.76
plb_333	obbhaesh	o	ae	BL	VAS	78.67	122.85	110.11	21.01	0.005	171.55	424.75	430.53	1197.04	951.40	167.53	317.30	741.03	974.46	1440.93
plb_407	prottek	o	e	D	VLS	33.77	84.93	189.56	16.21	0.02	166.31	426.84	414.03	1034.58	1140.41	181.21	390.63	378.75	1765.49	1901.50
plb_520	mrittu	i	u	D	VLS	51.53	72.50	194.54	18.71	0.007	158.72	369.70	308.38	2067.23	1979.00	167.18	300.89	317.21	1210.81	972.95
punam_02	biggapone	i	a	V	VS	60.13	60.48	74.77	23.08	0.05	207.09	348.29	414.42	1569.16	2679.19	231.31	496.96	709.62	1733.04	1765.08
punam_03	ebong	e	o	BL	VS_N	80.47	77.30	56.00	6.38	0.08	219.41	430.83	424.53	1588.61	1148.25	216.34	502.31	526.84	1210.81	1073.36
punam_04	notun	o	u	D	VLS_N	88.53	56.50	80.17	18.24	0.02	208.07	418.30	596.86	1556.29	1269.35	262.59	417.25	463.44	1643.00	1567.65
punam_04	rupe	u	e	BL	VLS_N	31.05	73.21	83.44	11.61	0.06	247.99	469.48	463.54	1270.17	1229.64	254.08	520.33	505.46	1644.98	1801.64
punam_05	Oboruddho	O	o	BL	VS_N	89.67	57.13	52.16	7.63	0.07	223.21	773.64	773.85	1069.72	995.71	277.65	480.32	547.04	1029.62	1147.18
punam_06	shOkale	O	a	V	VLS_N	83.15	81.08	77.83	18.57	0.04	222.92	545.39	824.49	1759.07	1296.26	213.34	636.23	759.44	1549.78	1609.24
punam_07	duTi	u	i	R	VLS_N	94.82	54.04	69.66	7.88	0.02	230.78	387.44	439.78	1812.35	1385.89	254.69	351.82	403.53	2363.13	2441.57
punam_09	Oborodh	O	o	BL	VS_N	83.54	80.06	55.21	11.10	0.04	204.02	801.35	795.94	1197.54	1168.75	190.12	440.61	491.15	830.33	985.71
punam_10	kaTa	a	a	R	VLS_N	96.76	127.92	91.38	10.12	0.04	173.44	725.32	881.29	1470.89	1378.05	88.75	739.21	846.87	1800.75	1541.21
punam_151	chobbishTi	o	i	BL	VS	56.44	37.90	98.77	5.96	0.03	246.55	536.32	504.73	1632.05	1296.48	250.38	457.27	431.92	1974.98	2234.11
punam_155	mrittu	i	u	D	VLS	40.25	69.77	127.95	13.80	0.007	202.33	476.22	442.30	2543.68	2568.48	243.60	440.39	467.93	1729.83	1380.51
punam_156	shiddhanto	i	a	D	VAS	72.08	103.06	110.58	14.27	0.03	279.37	343.47	397.90	2467.97	2727.82	294.68	680.21	907.32	1925.64	1755.12
punam_17	nittoproyojonio	i	o	D	VLS	72.45	46.24	123.77	14.76	0.03	226.78	434.62	424.22	1623.67	1294.32	283.08	452.47	530.27	1658.67	1466.36
punam_188	nishiddho	i	o	D	VAS	45.01	60.86	102.93	20.60	0.03	268.29	324.63	451.77	2358.02	2597.62	295.25	574.55	587.43	1802.37	1523.09
punam_195	biruddhe	u	e	D	VAS	60.58	83.50	85.80	19.45	0.01	243.22	452.31	471.12	1402.33	1469.34	300.85	496.72	538.56	699.66	1409.88
punam_196	biruddhe	u	e	D	VAS	64.20	164.27	130.09	45.00	0.06	236.99	418.90	408.70	1853.33	1677.85	216.12	521.52	444.66	2270.45	2069.19
punam_216	bODDo	O	o	R	VS	113.30	70.04	136.14	8.69	0.04	139.58	610.10	723.61	700.31	963.24	192.60	487.32	534.25	1458.12	1363.78
punam_259	shotti	o	i	D	VLS	56.30	87.33	136.64	14.27	0.01	204.94	508.39	506.44	1316.59	1419.40	254.80	435.88	430.69	2548.43	1690.14
punam_268	bODDo	O	o	R	VS	92.62	38.75	94.47	6.83	0.04	205.73	541.83	625.79	1111.78	1188.20	262.07	502.82	519.15	1679.32	1490.85
punam_288	shidhhante	i	a	D	VAS	62.86	86.29	79.02	18.37	0.010	346.73	364.42	368.74	2246.25	2127.21	350.06	647.70	747.46	2045.82	973.14
punam_306	shiddhanto	i	a	D	VAS	61.99	95.61	89.15	21.54	0.03	262.44	361.82	429.10	2198.63	2553.69	242.55	596.48	862.60	1892.68	1695.56
punam_322	prottokkho	o	o	D	VLS	70.90	44.94	103.98	13.85	0.02	217.42	491.78	501.23	1178.30	1296.53	237.13	493.80	507.45	1610.17	1417.75
punam_322	prottokkho	o	o	V	VLAS	44.94	70.10	76.21	40.04	0.02	237.13	493.80	507.45	1610.17	1417.75	378.06	450.93	558.26	1124.20	1377.53
punam_344	shotti	o	i	D	VLS	74.15	121.39	141.42	4.99	0.04	347.86	430.33	777.34	1278.64	1424.55	348.40	410.62	389.30	861.40	1732.22
punam_35	mrittu	i	u	D	VLS	31.61	46.38	139.69	20.05	0.03	192.44	496.22	419.75	2471.12	1937.28	216.93	416.92	431.64	1743.04	1435.36
